Export Stamp,Hex,PE Export Date,Cobalt Strike version
1733168407,0x674e0d17,Mon 02 Dec 2024 07:40:07 PM ,"Cobalt Strike 4.10.1 (Dec 10, 2024)"
1733168403,0x674e0d13,Mon 02 Dec 2024 07:40:03 PM ,"Cobalt Strike 4.10.1 (Dec 10, 2024)"
1733168386,0x674e0d02,Mon 02 Dec 2024 07:39:46 PM ,"Cobalt Strike 4.10.1 (Dec 10, 2024)"
1720799271,0x66915027,Fri 12 Jul 2024 03:47:51 PM ,"Cobalt Strike 4.10 (Jul 16, 2024)"
1720799268,0x66915024,Fri 12 Jul 2024 03:47:48 PM ,"Cobalt Strike 4.10 (Jul 16, 2024)"
1720799266,0x66915022,Fri 12 Jul 2024 03:47:46 PM ,"Cobalt Strike 4.10 (Jul 16, 2024)"
1720799264,0x66915020,Fri 12 Jul 2024 03:47:44 PM ,"Cobalt Strike 4.10 (Jul 16, 2024)"
1720799247,0x6691500f,Fri 12 Jul 2024 03:47:27 PM ,"Cobalt Strike 4.10 (Jul 16, 2024)"
1694010590,0x64f88cde,Wed 06 Sep 2023 02:29:50 PM ,"Cobalt Strike 4.9 (Sep 19, 2023)"
1694010526,0x64f88c9e,Wed 06 Sep 2023 02:28:46 PM ,"Cobalt Strike 4.9 (Sep 19, 2023)"
1694010494,0x64f88c7e,Wed 06 Sep 2023 02:28:14 PM ,"Cobalt Strike 4.9 (Sep 19, 2023)"
1694010462,0x64f88c5e,Wed 06 Sep 2023 02:27:42 PM ,"Cobalt Strike 4.9 (Sep 19, 2023)"
1676543367,0x63ee0587,Thu 16 Feb 2023 10:29:27 AM ,"Cobalt Strike 4.8 (Feb 28, 2023)"
1676543340,0x63ee056c,Thu 16 Feb 2023 10:29:00 AM ,"Cobalt Strike 4.8 (Feb 28, 2023)"
1676543314,0x63ee0552,Thu 16 Feb 2023 10:28:34 AM ,"Cobalt Strike 4.8 (Feb 28, 2023)"
1661785433,0x630cd559,Mon 29 Aug 2022 03:03:53 PM ,"Cobalt Strike 4.7.1 (Sep 16, 2022)"
1661785403,0x630cd53b,Mon 29 Aug 2022 03:03:23 PM ,"Cobalt Strike 4.7.1 (Sep 16, 2022)"
1661785372,0x630cd51c,Mon 29 Aug 2022 03:02:52 PM ,"Cobalt Strike 4.7.1 (Sep 16, 2022)"
1659630329,0x62ebf2f9,Thu 04 Aug 2022 04:25:29 PM ,"Cobalt Strike 4.7 (Aug 17, 2022)"
1659630298,0x62ebf2da,Thu 04 Aug 2022 04:24:58 PM ,"Cobalt Strike 4.7 (Aug 17, 2022)"
1659630264,0x62ebf2b8,Thu 04 Aug 2022 04:24:24 PM ,"Cobalt Strike 4.7 (Aug 17, 2022)"
1649798033,0x6255eb91,Tue 12 Apr 2022 09:13:53 PM ,"Cobalt Strike 4.6 (Apr 12, 2022)"
1649797998,0x6255eb6e,Tue 12 Apr 2022 09:13:18 PM ,"Cobalt Strike 4.6 (Apr 12, 2022)"
1649797966,0x6255eb4e,Tue 12 Apr 2022 09:12:46 PM ,"Cobalt Strike 4.6 (Apr 12, 2022)"
1637694016,0x619d3a40,Tue 23 Nov 2021 07:00:16 PM ,"Cobalt Strike 4.5 (Dec 14, 2021)"
1637693979,0x619d3a1b,Tue 23 Nov 2021 06:59:39 PM ,"Cobalt Strike 4.5 (Dec 14, 2021)"
1627994782,0x61093a9e,Tue 03 Aug 2021 12:46:22 PM ,"Cobalt Strike 4.4 (Aug 04, 2021)"
1627994693,0x61093a45,Tue 03 Aug 2021 12:44:53 PM ,"Cobalt Strike 4.4 (Aug 04, 2021)"
1614781725,0x603f9d1d,Wed 03 Mar 2021 02:28:45 PM ,"Cobalt Strike 4.3 (Mar 03, 2021)"
1614696183,0x603e4ef7,Tue 02 Mar 2021 02:43:03 PM ,"Cobalt Strike 4.3 (Mar 03, 2021)"
1614687645,0x603e2d9d,Tue 02 Mar 2021 12:20:45 PM ,"Cobalt Strike 4.3 (Mar 03, 2021)"
1604366948,0x5fa0b264,Tue 03 Nov 2020 01:29:08 AM ,"Cobalt Strike 4.2 (Nov 06, 2020)"
1604366849,0x5fa0b201,Tue 03 Nov 2020 01:27:29 AM ,"Cobalt Strike 4.2 (Nov 06, 2020)"
1603584534,0x5f94c216,Sun 25 Oct 2020 12:08:54 AM ,"Cobalt Strike 4.2 (Nov 06, 2020)"
1592939923,0x5ef25593,Tue 23 Jun 2020 07:18:43 PM ,"Cobalt Strike 4.1 (Jun 25, 2020)"
1592939867,0x5ef2555b,Tue 23 Jun 2020 07:17:47 PM ,"Cobalt Strike 4.1 (Jun 25, 2020)"
1575547386,0x5de8f1fa,Thu 05 Dec 2019 12:03:06 PM ,"Cobalt Strike 4.0 (Dec 05, 2019)"
1575547248,0x5de8f170,Thu 05 Dec 2019 12:00:48 PM ,"Cobalt Strike 4.0 (Dec 05, 2019)"
